Company Name,Job Role,Location,Features/Tags,Timestamp
Sanctuary Computer,Senior Elixir Engineer,Remote/Not Specified,"backend, dev, django, exec, full stack, javascript, node, python, pyton, react native, ruby, saas, senior",2025-08-15 11:19:42
P2P. org,Data Analyst,Delhi,"analyst, api, consultancy, crypto, defi, finance, growth, health, support, system, technical",2025-08-15 11:19:42
Ethena Labs,Senior Staff Security Engineer,Globally Remote,"crypto, defi, devops, engineer, engineering, ethereum, finance, financial, full-stack, growth, security, senior, software, strategy, technical, testing",2025-08-15 11:19:42
GoMining,VIP Support Manager,Remote/Not Specified,"crypto, defi, management, manager, non tech, sales, support",2025-08-15 11:19:42
The Trevor Project,Public Training Associate,Remote - United States,"education, educational, financial, health, legal, management, non tech, operational, operations, senior, support, training, travel",2025-08-15 11:19:42
NTD software,FullStack Engineer,Latin America,"backend, cloud, code, css, design, dev, developer, devops, digital nomad, engineer, frontend, fullstack, javascript, mobile, react, software, support, technical, web",2025-08-15 11:19:42
Find,Cryptocurrency Reporter,Remote/Not Specified,"content, crypto, cryptocurrency",2025-08-15 11:19:42
Bonfire Studios,Character Concept Artist,United States,"3d, recruiting, support",2025-08-15 11:19:42
Coins.ph,Strategy Manager,"Taguig City, Metro Manila, Philippines","crypto, cryptocurrencies, finance, financial, growth, management, manager, mobile, operational, strategy, support, web3",2025-08-15 11:19:42
Aragon,Content &amp; Social Lead,Remote - Anywhere,"content, full-stack, growth, lead, management, manager, marketing, seo, software, strategy, support, technical, web3",2025-08-15 11:19:42
The Biz Conquest,Mobile Developer,Remote/Not Specified,"dev, engineer, mobiledev, react native",2025-08-15 11:19:42
Virta Health,Backend Software Engineer Client Group,Remote/Not Specified,"backend, cloud, code, engineer, engineering, frontend, full-stack, golang, health, medical, operational, security, software, support, technical, training",2025-08-15 11:19:42
Deblock,Senior Backend Engineer,Remote/Not Specified,"backend, banking, crypto, engineer, fintech, golang, senior",2025-08-15 11:19:42
CrowdGen by Appen,Payment QR Code from Eye AI,India,"code, mobile, qa",2025-08-15 11:19:42
